,0,1,2,3
0,15.0,0.9854208944110384,0.9649210504597738,0.3245650512224788
1,11.0,0.7321864500681152,0.04218446612436301,0.08271889079780675
2,12.0,0.9272384313612596,0.1321780116342287,0.6941522104494992
3,3.0,0.27551525732294346,0.781299964946321,0.20895819007358551
4,3.0,0.8124930001291358,0.6175940238370075,0.4323983318406382
5,10.0,0.409520853003413,0.3495096237725005,0.961818247659291
6,8.0,0.20175092968444555,0.7358932068897439,0.10285592034225509
7,8.0,0.1201554645681909,0.8401564648967169,0.7210501167629637
8,3.0,0.4772630974192476,0.6930426389667652,0.014477359083892688
9,18.0,0.6268959043838462,0.09560263175728023,0.49892442568588585
10,12.0,0.3424588978235452,0.17474508742447115,0.2376188441598414
11,14.0,0.678153073220924,0.051258149891994606,0.5952500949224065
12,12.0,0.37843046327144636,0.9118662205847559,0.8320630163025502
13,17.0,0.23499533269500558,0.9176371616215498,0.9226107129220321
14,17.0,0.8471858635106739,0.4305590635035439,0.1662881731811003
15,10.0,0.8884517373587733,0.2841478005586941,0.37737831638100955
16,3.0,0.06427912496350006,0.21754799497260008,0.3015996346832353
17,2.0,0.5037949951810962,0.4600293190123552,0.9040282540572319
18,3.0,0.6027417976640524,0.49266744934226164,0.4771893822311314
19,2.0,0.5410074907849173,0.8030870642859466,0.5491144486070119
20,3.0,0.756880196364895,0.5798274398144189,0.6104188857858207
21,7.0,0.034930906012100124,0.5534803133381769,0.8165786574615009
22,14.0,0.1563296639933658,0.33704671131777275,0.7422334880738937
